Make,Model,Variant,Seating_Capacity,Fuel_Type,City_Mileage,Combined_Name
Tata,Nano Genx,Xt,4,Petrol,23.6,Tata Nano Genx Xt
Tata,Nano Genx,Xe,4,Petrol,23.6,Tata Nano Genx Xe
Tata,Nano Genx,Emax Xm,4,CNG,6.7,Tata Nano Genx Emax Xm
Tata,Nano Genx,Xta,4,Petrol,23.6,Tata Nano Genx Xta
Tata,Nano Genx,Xm,4,Petrol,23.6,Tata Nano Genx Xm
Tata,Nano Genx,Xma,4,Petrol,23.6,Tata Nano Genx Xma
Datsun,Redi-Go,D,5,Petrol,21.38,Datsun Redi-Go D
Datsun,Redi-Go,T,5,Petrol,21.38,Datsun Redi-Go T
Datsun,Redi-Go,A,5,Petrol,21.38,Datsun Redi-Go A
Datsun,Redi-Go,S,5,Petrol,21.38,Datsun Redi-Go S
Datsun,Redi-Go,1.0 S,5,Petrol,6.7,Datsun Redi-Go 1.0 S
Datsun,Redi-Go,1.0 S Amt,5,Petrol,6.7,Datsun Redi-Go 1.0 S Amt
Renault,Kwid,Rxe 0.8,5,Petrol,25.17,Renault Kwid Rxe 0.8
Renault,Kwid,Std 0.8,5,Petrol,25.17,Renault Kwid Std 0.8
Renault,Kwid,Rxl 0.8,5,Petrol,25.17,Renault Kwid Rxl 0.8
Renault,Kwid,Rxt 0.8,5,Petrol,25.17,Renault Kwid Rxt 0.8
Renault,Kwid,Rxt 1.0,5,Petrol,25.17,Renault Kwid Rxt 1.0
Renault,Kwid,Climber 1.0 Mt,5,Petrol,25.17,Renault Kwid Climber 1.0 Mt
Renault,Kwid,Rxt Amt 1.0,5,Petrol,25.17,Renault Kwid Rxt Amt 1.0
Renault,Kwid,Climber Amt 1.0,5,Petrol,25.17,Renault Kwid Climber Amt 1.0
Renault,Kwid,Rxt (O) 1.0,5,Petrol,25.17,Renault Kwid Rxt (O) 1.0
Renault,Kwid,Rxt (O) Amt 1.0,5,Petrol,25.17,Renault Kwid Rxt (O) Amt 1.0
Renault,Kwid,Climber (O) Mt 1.0,5,Petrol,25.17,Renault Kwid Climber (O) Mt 1.0
Renault,Kwid,Climber (O) Amt 1.0,5,Petrol,25.17,Renault Kwid Climber (O) Amt 1.0
Maruti Suzuki,Eeco,5 Str,5,Petrol,12.0,Maruti Suzuki Eeco 5 Str
Maruti Suzuki,Eeco,7 Str,7,Petrol,12.0,Maruti Suzuki Eeco 7 Str
Maruti Suzuki,Eeco,5 Str With Ac+Htr,5,Petrol,11.0,Maruti Suzuki Eeco 5 Str With Ac+Htr
Maruti Suzuki,Eeco,5 Str With Ac+Htr Cng,5,CNG,6.7,Maruti Suzuki Eeco 5 Str With Ac+Htr Cng
Maruti Suzuki,Eeco,5 Str With Htr Cng,5,CNG,6.7,Maruti Suzuki Eeco 5 Str With Htr Cng
Maruti Suzuki,Alto K10,Lxi,5,Petrol,14.0,Maruti Suzuki Alto K10 Lxi
Maruti Suzuki,Alto K10,Vxi,5,Petrol,14.0,Maruti Suzuki Alto K10 Vxi
Maruti Suzuki,Alto K10,Lx,5,Petrol,19.0,Maruti Suzuki Alto K10 Lx
Maruti Suzuki,Alto K10,Vxi (O),5,Petrol,14.0,Maruti Suzuki Alto K10 Vxi (O)
Maruti Suzuki,Alto K10,Lxi Cng (O),5,CNG,6.7,Maruti Suzuki Alto K10 Lxi Cng (O)
Maruti Suzuki,Alto K10,Vxi Amt (O),5,Petrol,14.0,Maruti Suzuki Alto K10 Vxi Amt (O)
Datsun,Go,D,5,Petrol,6.7,Datsun Go D
Datsun,Go,T,5,Petrol,6.7,Datsun Go T
Datsun,Go,T (O),5,Petrol,20.6,Datsun Go T (O)
Datsun,Go,A (O),5,Petrol,20.6,Datsun Go A (O)
Datsun,Go,A,5,Petrol,20.6,Datsun Go A
Datsun,Go,T Vdc,5,Petrol,6.7,Datsun Go T Vdc
Datsun,Go,T (O) Vdc,5,Petrol,20.6,Datsun Go T (O) Vdc
Datsun,Go,T Cvt,5,Petrol,6.7,Datsun Go T Cvt
Datsun,Go,T (O) Cvt,5,Petrol,20.6,Datsun Go T (O) Cvt
Maruti Suzuki,Celerio Tour,H2,5,Petrol,23.0,Maruti Suzuki Celerio Tour H2
Maruti Suzuki,Celerio Tour,H2 Cng,5,CNG,6.7,Maruti Suzuki Celerio Tour H2 Cng
Hyundai,Santro,Era Mt,5,Petrol,6.7,Hyundai Santro Era Mt
Hyundai,Santro,Magna Mt,5,Petrol,6.7,Hyundai Santro Magna Mt
Hyundai,Santro,Magna Mt Cng,5,CNG,6.7,Hyundai Santro Magna Mt Cng
Hyundai,Santro,Magna Amt,5,Petrol,6.7,Hyundai Santro Magna Amt
Hyundai,Santro,Sportz Mt,5,Petrol,6.7,Hyundai Santro Sportz Mt
Hyundai,Santro,Sportz Mt Cng,5,CNG,6.7,Hyundai Santro Sportz Mt Cng
Hyundai,Santro,Sportz Amt,5,Petrol,6.7,Hyundai Santro Sportz Amt
Hyundai,Santro,Asta Mt,5,Petrol,6.7,Hyundai Santro Asta Mt
Tata,Tiago,Revotron Xe,5,Petrol,6.7,Tata Tiago Revotron Xe
Tata,Tiago,Revotron Xt,5,Petrol,23.84,Tata Tiago Revotron Xt
Tata,Tiago,Revotron Xz,5,Petrol,23.84,Tata Tiago Revotron Xz
Tata,Tiago,Revotron Xz Plus,5,Petrol,23.84,Tata Tiago Revotron Xz Plus
Tata,Tiago,Revotron Xz Plus Dual Tone,5,Petrol,23.84,Tata Tiago Revotron Xz Plus Dual Tone
Tata,Tiago,Revotron Xza,5,Petrol,23.84,Tata Tiago Revotron Xza
Tata,Tiago,Revotron Xza Plus,5,Petrol,23.84,Tata Tiago Revotron Xza Plus
Tata,Tiago,Revotron Xza Plus Dual Tone,5,Petrol,23.84,Tata Tiago Revotron Xza Plus Dual Tone
Maruti Suzuki,Celerio X,Vxi (O),5,Petrol,23.0,Maruti Suzuki Celerio X Vxi (O)
Maruti Suzuki,Celerio X,Vxi,5,Petrol,23.0,Maruti Suzuki Celerio X Vxi
Maruti Suzuki,Celerio X,Vxi Amt,5,Petrol,23.0,Maruti Suzuki Celerio X Vxi Amt
Maruti Suzuki,Celerio X,Vxi Amt (O),5,Petrol,23.0,Maruti Suzuki Celerio X Vxi Amt (O)
Maruti Suzuki,Celerio X,Zxi,5,Petrol,23.0,Maruti Suzuki Celerio X Zxi
Maruti Suzuki,Celerio X,Zxi (O),5,Petrol,23.0,Maruti Suzuki Celerio X Zxi (O)
Maruti Suzuki,Celerio X,Zxi Amt,5,Petrol,23.0,Maruti Suzuki Celerio X Zxi Amt
Maruti Suzuki,Celerio X,Zxi Amt (O),5,Petrol,23.0,Maruti Suzuki Celerio X Zxi Amt (O)
Maruti Suzuki,Ignis,Alpha 1.2 Amt,5,Petrol,20.89,Maruti Suzuki Ignis Alpha 1.2 Amt
Maruti Suzuki,Ignis,Alpha 1.2 Mt,5,Petrol,20.89,Maruti Suzuki Ignis Alpha 1.2 Mt
Maruti Suzuki,Ignis,Delta 1.2 Amt,5,Petrol,20.89,Maruti Suzuki Ignis Delta 1.2 Amt
Maruti Suzuki,Ignis,Delta 1.2 Mt,5,Petrol,20.89,Maruti Suzuki Ignis Delta 1.2 Mt
Maruti Suzuki,Ignis,Sigma 1.2 Mt,5,Petrol,20.89,Maruti Suzuki Ignis Sigma 1.2 Mt
Maruti Suzuki,Ignis,Zeta 1.2 Amt,5,Petrol,15.1,Maruti Suzuki Ignis Zeta 1.2 Amt
Maruti Suzuki,Ignis,Zeta 1.2 Mt,5,Petrol,20.89,Maruti Suzuki Ignis Zeta 1.2 Mt
Renault,Triber,Rxe,7,Petrol,6.7,Renault Triber Rxe
Renault,Triber,Rxl,7,Petrol,6.7,Renault Triber Rxl
Renault,Triber,Rxt,7,Petrol,6.7,Renault Triber Rxt
Renault,Triber,Rxz,7,Petrol,6.7,Renault Triber Rxz
